,db_size,top K,cosine,faiss
0,2000,800,0.0022576673030853273,0.00023929572105407714
1,5000,800,0.007934577941894531,0.000521765947341919
2,10000,800,0.036139125108718875,0.0014089937210083007
3,20000,800,0.07315334415435791,0.003392304182052612
4,30000,800,0.11042795062065125,0.005186567783355713
5,40000,800,0.14904284024238587,0.007020475149154663
6,50000,800,0.1916082708835602,0.008779634714126587
7,100000,800,0.3891613464355469,0.018157416105270385
8,1000000,800,3.6828812398910524,0.18179020404815674
9,1000000,10,3.65714696598053,0.1845524251461029
10,1000000,100,3.6661126704216005,0.18426606512069701
11,1000000,200,3.670680520296097,0.18432186794281005
12,1000000,400,3.671216938495636,0.18162520623207093
13,1000000,600,3.671099909067154,0.18447587704658508
14,1000000,800,3.683704137802124,0.18435282516479493
15,1000000,1000,3.6801348536014555,0.1845939519405365
